# CBC Archive Sales

> > CBC Archive Sales provides access to Canada's broadcasting heritage through licensing of archival audio-visual content and historical media.

CBC Archive Sales is the official gateway for licensing CBC's extensive collection of Canadian broadcast content, including historical footage, audio recordings, and media assets spanning decades of Canadian broadcasting history.

## Key Topics

- CBC
- Canadian Broadcasting Corporation
- Archive Sales
- Media Licensing
- Broadcasting History
- Audio-Visual Archive
- Canadian Content
- Historical Footage
- Broadcast Heritage
- Content Licensing
- Archival Media
- Canadian Media

## Archive Sales & Licensing

- [Home - Archive Sales](https://archivesales.cbc.ca/en): CBC Archive Sales gateway for Canadian audio-visual & media licensing
