# Harvard Professional & Lifelong Learning

> > Harvard Professional & Lifelong Learning connects learners worldwide with Harvard faculty expertise across business, humanities, sciences, and professional development through online and executive education programs.

The platform features courses and programs taught by distinguished Harvard faculty from Harvard Business School, Harvard Graduate School of Education, Harvard Divinity School, and other Harvard schools. Instructors include award-winning educators, Pulitzer Prize winners, and leading researchers across disciplines from computer science to public policy.

## Key Topics

- Harvard Business School executive education
- Harvard Graduate School of Education programs
- Division of Continuing Education courses
- Business leadership and corporate governance
- Academic writing and critical reading
- Computer science and CS50
- Public policy and economics
- Humanities and language studies
- Data-driven educational improvement
- Professional development for educators
- Theological and religious studies
- Historical research and scholarship
- Communication and presentation skills
- Collaborative inquiry methods
- Teaching excellence and pedagogy

## Business & Leadership Faculty

- [Raj Chetty | Harvard University](https://pll.harvard.edu/instructor/raj-chetty-0): Public Economics Professor and Opportunity Insights Director
- [Charles C.Y. Wang | Harvard University](https://pll.harvard.edu/instructor/charles-cy-wang): Tandon Family Professor teaching corporate governance at HBS
- [V. Narayanan | Harvard University](https://pll.harvard.edu/instructor/v-narayanan): Accounting Professor and MBA curriculum chair at Harvard Business School
- [Jose Alvarez | Harvard University](https://pll.harvard.edu/instructor/jose-alvarez): Former Stop & Shop CEO teaching at Harvard Business School
- [Timothy O'Brien | Harvard University](https://pll.harvard.edu/instructor/timothy-obrien): Public Policy lecturer and Leadership for 21st Century chair at HKS
- [Carmine Gallo | Harvard University](https://pll.harvard.edu/instructor/carmine-gallo): Best-selling author and keynote speaker on communication skills

## Education & Research Faculty

- [Kathryn Parker Boudett | Harvard University](https://pll.harvard.edu/instructor/kathryn-parker-boudett): Director of Data Wise Project at Harvard Graduate School of Education
- [Rakesh Khurana | Harvard University](https://pll.harvard.edu/instructor/rakesh-khurana): Harvard College Dean and organizational behavior professor
- [Peter K. Bol | Harvard University](https://pll.harvard.edu/instructor/peter-k-bol): Chinese history scholar and former HarvardX Vice Provost
- [Laurel Thatcher Ulrich | Harvard University](https://pll.harvard.edu/instructor/laurel-thatcher-ulrich): Pulitzer Prize-winning historian of women in early America
- [Flaminia Catteruccia | Harvard University](https://pll.harvard.edu/instructor/flaminia-catteruccia): Associate Professor researching malaria and mosquito biology at HSPH

## Computer Science & Technology Faculty

- [Doug Lloyd | Harvard University](https://pll.harvard.edu/instructor/doug-lloyd): Senior Preceptor in Computer Science teaching CS50 courses

## Humanities & Languages Faculty

- [Geraldine A. Grimm | Harvard University](https://pll.harvard.edu/instructor/geraldine-grimm): Lecturer in Theological German at Harvard Divinity School and Tufts
- [Raymond F. Comeau | Harvard University](https://pll.harvard.edu/instructor/raymond-f-comeau): French studies lecturer and textbook author at Harvard Extension
- [Erika Naginski | Harvard University](https://pll.harvard.edu/instructor/erika-naginski): Architectural History Professor at Harvard Graduate School of Design
- [Allyson K. Boggess | Harvard University](https://pll.harvard.edu/instructor/allyson-k-boggess): Academic writing instructor with MFA from Arizona State University

## Optional

- [Hal S. Scott | Harvard University](https://pll.harvard.edu/instructor/hal-s-scott): Harvard Law School professor specializing in international finance
- [Sarah Griffis | Harvard University](https://pll.harvard.edu/instructor/sarah-griffis): Doctoral student in New Testament and Early Christianity
- [Mary Shapiro | Harvard University](https://pll.harvard.edu/instructor/mary-shapiro): Instructor at Harvard DCE Professional & Executive Development
